,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economies and Consumers Quarterly Data | Historical | Non-seasonally adjusted,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Costa Rica,Business Confidence Index,Socio-economic indicators,Index,-,6.0,6.0,6.0,6.2,6.6,6.7,6.4,6.5,6.4,6.2,6.2,6.2,5.9,5.7,5.3,5.1,5.4,2.7,3.0,4.1,4.8,5.0,5.2,5.3
Ecuador,Business Confidence Index,Socio-economic indicators,Index,-,"1,152.9","1,146.7","1,162.3","1,192.7","1,178.0","1,193.7","1,219.2","1,259.7","1,272.0","1,304.8","1,322.1","1,356.4","1,370.5","1,417.7","1,454.9","1,471.3","1,447.6","1,400.4","1,446.0","1,471.1","1,450.6","1,470.2","1,496.6","1,530.5"
Mexico,Business Confidence Index,Socio-economic indicators,Index,-,48.2,50.0,49.3,47.7,44.4,48.5,50.3,49.6,50.5,50.4,52.7,50.8,52.7,52.0,50.2,49.1,46.5,36.4,39.8,42.5,44.8,50.0,51.4,52.5
Peru,Business Confidence Index,Socio-economic indicators,Index,-,45.2,54.0,61.8,58.8,51.7,53.6,57.1,60.1,55.7,58.7,57.5,55.4,58.7,52.9,47.0,49.2,41.0,17.4,39.8,50.8,45.5,41.3,37.2,41.3
Bahrain,Business Confidence Index,Socio-economic indicators,Index,-,89.4,89.4,100.0,100.0,100.0,100.0,106.7,103.2,101.4,102.8,102.7,102.2,100.1,100.2,100.4,100.1,99.9,97.2,87.0,83.1,79.8,85.1,85.1,90.6
Israel,Business Confidence Index,Socio-economic indicators,Index,-,17.1,17.4,18.7,18.3,20.4,20.7,21.8,21.1,21.3,22.9,23.1,22.1,24.7,25.9,24.7,22.2,16.4,-10.0,2.9,2.8,13.9,20.9,22.6,22.5
Nigeria,Business Confidence Index,Socio-economic indicators,Index,-,-10.3,-12.3,-24.1,-29.0,-27.7,-1.5,-2.6,17.7,19.5,30.8,20.0,25.9,25.4,28.7,27.8,28.9,20.5,-24.3,-6.9,-6.1,15.8,6.1,10.0,0.9
Qatar,Business Confidence Index,Socio-economic indicators,Index,-,20.4,20.4,20.2,20.7,21.3,22.1,23.0,23.3,23.0,23.1,23.2,23.7,23.4,23.6,23.8,24.0,19.8,20.2,23.1,25.1,26.5,27.5,28.3,28.8
South Africa,Business Confidence Index,Socio-economic indicators,Index,-,35.0,32.0,40.0,39.0,37.0,27.0,32.0,33.0,44.0,40.0,34.0,32.0,29.0,28.0,21.0,26.0,18.0,13.0,24.0,40.0,35.0,50.0,43.0,43.4
Uganda,Business Confidence Index,Socio-economic indicators,Index,-,52.9,57.2,55.4,53.3,55.3,56.1,58.3,57.3,56.8,57.0,56.4,57.9,58.7,59.4,58.7,54.6,52.5,40.9,48.8,50.2,51.5,52.7,48.6,51.7
