accident_date,accident_time,step,ad_state,acman_rec,acfem_rec,deadman_rec,deadfem_rec,cause_type
12/5/2021,4:59:59 PM,??????,????,0,0,0,0,???????????????????????
12/5/2021,10:25:25 PM,?????????,????,0,0,0,0,??????
12/5/2021,12:55:55 AM,???????????,????,0,1,0,0,??????
12/5/2021,2:25:25 PM,???????????,????,0,0,0,0,???????????????????????
12/4/2021,12:36:36 AM,??????,????,0,0,0,0,???????????????????????
12/4/2021,10:37:37 PM,???????,????,1,0,0,0,??????????????
12/4/2021,4:00:00 PM,??????????????????? 37,????,0,1,0,0,???????????????????????
12/3/2021,12:47:47 AM,???????,????,0,1,0,0,???????????????
12/3/2021,8:25:25 AM,???????????,????,1,0,0,0,???????????????????????
12/2/2021,8:28:28 PM,?????????,????,0,0,0,0,???????????
12/1/2021,10:57:57 PM,??????,????,0,1,0,0,???????????????????????
12/1/2021,10:35:35 PM,??????-??????????,????,0,0,0,0,???????????????
11/30/2021,9:13:13 PM,??????,????,0,1,0,0,???????????????
11/30/2021,10:22:22 AM,?????????,????,0,0,0,0,??????????????
11/30/2021,2:42:42 PM,???????????,????,0,0,0,0,??????
11/29/2021,1:35:35 AM,???????????,????,0,0,0,0,??????
11/29/2021,9:26:26 AM,???????????,????,0,0,0,0,???????????????
11/28/2021,1:30:30 AM,??????,????,0,0,0,0,???????????????
11/28/2021,7:45:45 AM,???????????,????,0,1,0,0,??????????????????????
11/28/2021,10:12:12 AM,???????????,????,0,0,0,0,???????????????????????
11/28/2021,4:26:26 PM,???????????,????,0,0,0,0,???????????????????????
11/28/2021,11:40:40 PM,???????????,????,0,0,0,0,???????????????
11/27/2021,8:22:22 AM,??????,????,0,0,0,0,???????????????????????
11/27/2021,6:35:35 PM,??????,????,0,0,0,0,???????????????
11/27/2021,11:43:43 AM,??????-??????????,????,0,0,0,0,????????????????
11/25/2021,10:41:41 PM,??????-????????????,????,0,0,0,0,???????????????????????
11/24/2021,7:28:28 PM,???????,????,0,0,0,0,????????????
11/23/2021,12:48:48 PM,?????????,????,0,0,0,0,??????????????????????
11/21/2021,12:40:40 PM,?????????,????,4,1,0,0,???????????????
11/21/2021,2:24:24 PM,???????????,????,2,0,0,0,???????????????????????
11/21/2021,6:36:36 AM,??????-????????????,????,0,0,0,0,???????????????
11/20/2021,1:03:03 PM,??????,????,0,0,0,0,???????????????
11/20/2021,12:27:27 AM,???????,????,1,0,0,0,???????????????
11/20/2021,9:38:38 PM,???????????,????,0,0,0,0,???????????????????????
11/20/2021,10:12:12 PM,???????????,????,0,0,0,0,???????????????
11/19/2021,11:17:17 AM,??????,????,0,1,0,0,???????????????
11/19/2021,4:11:11 PM,??????,????,2,0,0,0,???????????????????????
11/19/2021,7:37:37 PM,??????,????,0,0,0,0,???????????????
11/19/2021,9:20:20 AM,???????????,????,0,0,0,0,???????????????????????
11/19/2021,3:40:40 PM,??????-??????????,????,2,1,0,0,???????????????
11/18/2021,2:51:51 PM,???????,????,0,2,0,0,????????????????????
11/18/2021,2:49:49 PM,?????????,????,0,0,0,0,???????????????
11/18/2021,12:10:10 AM,???????????,????,0,0,1,0,??????
11/18/2021,1:58:58 AM,??????-??????????,????,1,0,0,0,??????
11/17/2021,9:55:55 PM,??????,????,2,0,0,0,??????
11/17/2021,8:23:23 AM,???????????,????,0,0,0,0,???????????????
11/16/2021,10:55:55 AM,??????,????,0,0,0,0,??????
11/16/2021,2:48:48 AM,??????-??????????,????,0,0,0,0,??????
11/15/2021,9:25:25 AM,??????-????????????,????,0,0,0,0,???????????????????????
11/14/2021,1:40:40 PM,???????????,????,0,0,0,0,???????????????
11/13/2021,9:20:20 PM,?????????,????,0,0,0,0,???????????????????????
11/12/2021,7:33:33 PM,???????,????,0,0,0,0,???????????????????????
11/12/2021,11:00:00 AM,???????????,????,0,0,0,0,???????????????
11/11/2021,10:22:22 AM,??????,????,0,0,0,0,???????????
11/10/2021,11:00:00 AM,??????,????,0,0,0,0,???????????????
11/10/2021,11:23:23 AM,??????,????,0,0,0,0,???????????????
11/10/2021,11:37:37 PM,??????,????,0,0,0,0,???????????????
11/9/2021,12:45:45 AM,??????,????,0,0,0,0,?????Toyota???????????????
11/9/2021,8:26:26 PM,??????,????,0,0,0,0,???????????????
11/9/2021,10:09:09 AM,?????????,????,1,0,0,0,??????
11/9/2021,8:55:55 PM,???????????,????,0,0,1,0,???????????????????????
11/9/2021,9:24:24 PM,???????????,????,1,0,0,0,???????????????????????
11/9/2021,3:51:51 PM,??????????????????? 37,????,2,1,0,0,???????????????????????
11/8/2021,1:18:18 PM,??????,????,0,0,0,0,???????????????
11/8/2021,3:06:06 PM,??????,????,0,0,0,0,???????????????
11/8/2021,11:39:39 PM,??????,????,1,0,0,0,??????
11/8/2021,5:31:31 AM,??????-??????????,????,0,0,0,0,???????????????????????
11/7/2021,10:30:30 AM,??????????????????? 37,????,0,1,0,0,??????
11/5/2021,9:42:42 PM,???????????,????,0,0,0,0,???????????????????????
11/5/2021,9:27:27 PM,??????????????????? 37,????,0,0,0,0,??????
11/4/2021,7:38:38 PM,??????,????,0,0,0,0,???????????????
11/4/2021,10:38:38 PM,??????,????,0,0,0,0,???????????????????????
11/4/2021,6:30:30 AM,??????-??????????,????,0,0,0,0,?????????????
11/3/2021,7:20:20 AM,??????,????,1,1,0,0,???????????
11/3/2021,3:35:35 PM,??????-??????????,????,1,0,0,0,??????
11/3/2021,5:09:09 PM,??????-??????????,????,0,0,0,0,???????????????????????
11/2/2021,11:20:20 AM,??????,????,0,0,0,0,????????????
11/2/2021,1:16:16 PM,??????,????,0,0,0,0,???????????????????????
11/2/2021,11:40:40 PM,???????????,????,0,0,0,0,???????????????
11/2/2021,9:24:24 AM,??????-??????????,????,0,0,0,0,???????????????
11/1/2021,8:39:39 PM,???????,????,2,0,0,0,???????????????
11/1/2021,8:40:40 PM,???????,????,0,0,0,0,???????????????????????
11/1/2021,12:10:10 AM,???????????,????,1,0,0,0,??????
10/31/2021,11:39:39 PM,??????,????,0,0,0,0,???????????????????????
10/31/2021,7:46:46 AM,???????,????,0,0,0,0,??????
10/30/2021,1:20:20 AM,?????????,????,1,0,0,0,???????????????
10/30/2021,10:21:21 PM,?????????,????,0,1,0,0,???????????????????????
10/30/2021,6:30:30 PM,???????????,????,0,0,0,0,????????????????
10/30/2021,8:39:39 AM,??????-??????????,????,0,0,0,0,????????????
10/29/2021,2:51:51 PM,??????,????,0,0,0,0,????????????
10/29/2021,6:08:08 PM,?????????,????,0,2,0,0,?????????????
10/29/2021,2:15:15 PM,???????????,????,0,0,0,0,???????????????
10/29/2021,2:58:58 PM,??????-??????????,????,1,0,0,0,????????????????????????10???
10/28/2021,12:28:28 AM,??????,????,0,1,0,0,???????????????????????
10/28/2021,1:40:40 PM,???????,????,1,0,0,0,???????????????????????
10/28/2021,10:46:46 AM,?????????,????,0,0,0,0,??????
10/28/2021,12:54:54 PM,???????????,????,0,0,0,0,??????
10/28/2021,11:01:01 PM,??????-??????????,????,0,0,0,0,???????????????????????
10/27/2021,1:37:37 PM,?????????,????,0,0,0,0,??????
10/27/2021,3:52:52 PM,???????????,????,0,0,0,0,?????????????????????
10/27/2021,7:21:21 AM,??????-??????????,????,0,0,0,0,??????
10/26/2021,6:42:42 PM,?????????,????,0,0,0,0,???????????????
10/26/2021,6:53:53 PM,?????????,????,0,0,0,0,???????????????????????
10/26/2021,1:00:00 PM,???????????,????,0,0,0,0,?????????????????????
10/26/2021,6:48:48 PM,??????-????????????,????,0,0,0,0,???????????????
10/25/2021,7:13:13 AM,?????????,????,0,0,0,0,???????
