Category,Unit,2016,2017,2018,2019,2020,2021
Real GDP Growth,% growth,3.993,3.933,3.194,4.411,-6.81,2.913
Real GDP Growth,% growth,7.836,10.5,4.354,5.556,0.904,2.2
Real GDP Growth,% growth,8.905,6.728,6.773,6.292,-1.591,4.025
Real GDP Growth,% growth,1.261,6.266,4.527,5.798,-1.763,2.729
Real GDP Growth,% growth,3.838,3.814,3.76,3.015,-14.9,5.0
Real GDP Growth,% growth,1.06,4.249,3.149,2.608,-6.293,6.01
Real GDP Growth,% growth,3.824,3.741,3.444,2.315,-1.234,2.458
Real GDP Growth,% growth,0.034,-1.027,1.108,-0.606,-7.984,1.326
Real GDP Growth,% growth,5.741,5.001,7.211,5.941,3.58,5.36
Real GDP Growth,% growth,-1.543,0.806,1.923,2.208,-1.794,3.012
Real GDP Growth,% growth,4.897,0.346,0.919,-0.825,-2.835,2.483
Real GDP Growth,% growth,3.064,-1.498,1.235,0.775,-3.64,2.551
Real GDP Growth,% growth,3.0,2.3,1.7,2.2,-4.15,3.126
Real GDP Growth,% growth,5.972,3.973,8.578,9.469,-3.357,5.104
Real GDP Growth,% growth,4.165,3.849,3.028,2.211,3.003,2.131
Real GDP Growth,% growth,1.671,-0.742,2.437,0.334,-4.138,2.815
Real GDP Growth,% growth,6.37,7.394,6.209,4.402,1.5,4.747
Real GDP Growth,% growth,4.4,4.901,1.771,1.191,-10.771,6.896
Real GDP Growth,% growth,6.344,3.783,3.446,5.508,-2.175,3.194
Real GDP Growth,% growth,4.6,2.4,3.8,3.3,-0.3,1.6
Real GDP Growth,% growth,0.665,1.158,1.488,0.113,-6.432,5.185
Real GDP Growth,% growth,-6.642,-3.495,3.843,11.38,-6.589,5.325
Real GDP Growth,% growth,3.575,4.674,2.817,1.273,-3.63,0.9
Real GDP Growth,% growth,-5.63,-0.728,1.476,3.748,5.0,3.408
Real GDP Growth,% growth,6.867,6.773,6.952,6.996,4.788,4.823
Real GDP Growth,% growth,11.621,4.008,3.951,3.6,0.7,4.776
Real GDP Growth,% growth,1.117,2.238,2.547,1.512,-9.34,3.287
Real GDP Growth,% growth,4.644,3.304,6.304,6.439,2.951,4.492
Real GDP Growth,% growth,3.061,2.374,1.19,1.678,-5.913,2.37
Real GDP Growth,% growth,-15.033,-10.573,-0.822,1.441,-8.5,-2.0
Real GDP Growth,% growth,3.753,3.527,4.034,1.441,-2.785,1.005
Real GDP Growth,% growth,0.489,4.967,4.835,-6.144,-4.069,5.133
Real GDP Growth,% growth,1.001,3.04,2.777,1.88,-5.233,4.715
Real GDP Growth,% growth,1.667,2.256,2.919,2.289,-3.405,5.515
Real GDP Growth,% growth,3.71,0.346,1.589,2.015,-11.953,5.5
Real GDP Growth,% growth,1.989,2.259,2.502,1.491,-6.735,4.315
Real GDP Growth,% growth,1.267,1.619,1.819,2.15,-5.66,5.813
Real GDP Growth,% growth,6.454,5.852,5.693,5.283,-5.229,4.766
Real GDP Growth,% growth,3.246,2.822,1.99,2.115,-2.062,3.513
Real GDP Growth,% growth,2.811,3.192,1.142,1.221,-2.8,3.215
Real GDP Growth,% growth,1.096,2.292,1.865,1.843,-7.855,6.507
Real GDP Growth,% growth,2.23,2.68,1.086,1.051,-4.561,2.513
Real GDP Growth,% growth,7.5,7.5,5.9,5.0,-6.2,4.0
Real GDP Growth,% growth,-0.487,1.092,1.668,1.804,-9.019,7.513
Real GDP Growth,% growth,6.304,4.195,4.892,2.435,-6.504,3.696
Real GDP Growth,% growth,2.042,8.94,9.03,4.917,5.867,14.51
Real GDP Growth,% growth,1.293,1.668,0.926,0.41,-8.941,6.312
Real GDP Growth,% growth,2.332,3.172,3.936,-1.039,-2.175,4.0
Real GDP Growth,% growth,4.979,1.317,2.004,3.284,-1.777,5.513
Real GDP Growth,% growth,3.144,11.538,6.138,5.892,-8.228,5.711
Real GDP Growth,% growth,3.452,-3.501,5.999,6.9,-11.8,5.656
Real GDP Growth,% growth,2.192,2.911,2.361,1.956,-3.797,4.315
Real GDP Growth,% growth,1.072,2.323,1.119,0.746,-0.717,4.015
Real GDP Growth,% growth,2.019,3.506,2.849,2.683,-8.442,4.412
Real GDP Growth,% growth,3.031,2.974,2.289,2.085,-10.823,4.512
Real GDP Growth,% growth,2.071,2.568,1.95,1.986,-2.948,4.413
Real GDP Growth,% growth,2.045,1.585,2.917,1.211,-2.393,3.513
Real GDP Growth,% growth,3.323,7.502,2.98,0.89,1.794,10.013
Real GDP Growth,% growth,1.722,1.74,1.253,1.371,-9.88,6.688
