Indicator Name,2016,2017,2018,2019,2020
"Inflation, GDP deflator (annual %)",3.08088269,3.615658261,2.267261262,1.984870784,4.21436486
"Inflation, GDP deflator (annual %)",1.280311744,2.320259946,3.74065383,0.697076297,1.638412203
"Inflation, GDP deflator (annual %)",6.45059183,-1.110713869,-0.103196146,-1.826484018,4.121212121
"Inflation, GDP deflator (annual %)",2.517845936,7.699535038,9.797605661,1.064142815,5.492227979
"Inflation, GDP deflator (annual %)",0.311622234,1.859700451,1.201610335,3.193977984,4.103890814
"Inflation, GDP deflator (annual %)",2.980114084,4.649050821,3.102955543,3.000011819,2.721484443
"Inflation, GDP deflator (annual %)",2.22086666,2.092201938,1.784931078,2.432107508,2.299989468
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",1.716662547,1.511910394,1.812996752,1.74945224,1.941873812
"Inflation, GDP deflator (annual %)",4.134754444,2.159209292,1.960248198,3.011893178,2.677664621
"Inflation, GDP deflator (annual %)",1.278022484,3.225414992,-0.301992725,3.849469301,2.576474501
"Inflation, GDP deflator (annual %)",2.633326432,2.471859084,3.207796452,1.385778226,1.841456736
"Inflation, GDP deflator (annual %)",1.137900311,1.855170334,2.023111923,1.967206286,1.454270727
"Inflation, GDP deflator (annual %)",1.129477902,-0.301253738,0.001939682,0.304841985,0.296303311
"Inflation, GDP deflator (annual %)",-8.976699058,7.787569656,12.41440353,-4.455914212,-15.10042031
"Inflation, GDP deflator (annual %)",2.447043264,4.679172497,6.186225461,6.795538042,3.754659373
"Inflation, GDP deflator (annual %)",2.844222698,5.349815088,9.997924911,3.084173841,0.896021692
"Inflation, GDP deflator (annual %)",5.030223395,8.161704327,-0.62603277,2.501055378,8.266471783
"Inflation, GDP deflator (annual %)",3.810693121,4.559149335,3.443495826,4.012476723,4.350723509
"Inflation, GDP deflator (annual %)",-3.046414213,7.565830706,11.50846501,0.486383588,-7.928048781
"Inflation, GDP deflator (annual %)",20.68558773,34.62237073,55.97532544,51.97889335,115.2777685
"Inflation, GDP deflator (annual %)",0.95564952,0.598916827,-0.839644465,1.864955093,2.342765823
"Inflation, GDP deflator (annual %)",0.647139798,3.006092965,3.347638991,-0.62419408,-2.91966152
"Inflation, GDP deflator (annual %)",0.034035523,1.390540518,2.938071179,1.264355356,3.404472156
"Inflation, GDP deflator (annual %)",1.775622471,14.04333226,14.02199248,7.702269014,10.91548159
"Inflation, GDP deflator (annual %)",0.651008914,0.987503803,1.696558433,0.960338639,0.203941699
"Inflation, GDP deflator (annual %)",1.316705339,1.74335584,2.013180098,0.609492545,
"Inflation, GDP deflator (annual %)",-0.848854536,-0.974226265,0.458057855,7.16660484,7.90288028
"Inflation, GDP deflator (annual %)",1.549888832,2.97079317,1.974942562,2.440600408,2.449981748
"Inflation, GDP deflator (annual %)",5.030223395,3.92171862,3.956473697,2.85603412,3.521883435
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",4.905611843,4.28538472,3.52971462,2.678544749,3.199957862
"Inflation, GDP deflator (annual %)",1.645908629,2.474994488,2.714492109,1.891251841,0.360187795
"Inflation, GDP deflator (annual %)",5.113332951,2.965997273,1.715798347,6.978236993,5.47394862
"Inflation, GDP deflator (annual %)",24.07229494,28.14227627,5.662827217,4.422664314,44.86660999
"Inflation, GDP deflator (annual %)",-0.512184923,1.215693888,2.034356622,2.493487709,2.368618962
"Inflation, GDP deflator (annual %)",0.874115426,1.464064024,2.116788342,2.199603922,1.225815764
"Inflation, GDP deflator (annual %)",1.525609914,2.135151825,2.396920335,2.546875481,1.715129917
"Inflation, GDP deflator (annual %)",7.241779098,2.478129893,2.812577665,2.489321802,2.621716544
"Inflation, GDP deflator (annual %)",0.345353039,0.10305969,6.514233855,,
"Inflation, GDP deflator (annual %)",-0.908283202,4.797132486,1.430599048,1.953759357,-5.88426069
"Inflation, GDP deflator (annual %)",36.96322139,36.96383843,13.60500893,19.67134047,
"Inflation, GDP deflator (annual %)",2.184398161,1.551873127,3.097865327,2.129319274,5.460187842
"Inflation, GDP deflator (annual %)",-1.400839279,0.028251914,5.014657778,2.85603412,-5.081467132
"Inflation, GDP deflator (annual %)",2.438924087,3.562375799,3.398105023,1.598798134,1.638412203
"Inflation, GDP deflator (annual %)",2.844222698,4.810288428,3.447445127,3.658684457,3.102320561
"Inflation, GDP deflator (annual %)",36.99216193,-0.434609618,1.33588276,1.545092656,1.282158196
"Inflation, GDP deflator (annual %)",2.63616762,1.89994499,1.432248539,0.946225111,-1.066259571
"Inflation, GDP deflator (annual %)",0.541390114,9.805466131,2.492227082,3.658684457,2.30974401
"Inflation, GDP deflator (annual %)",-4.865602879,-1.542442685,1.21087594,4.379455631,
"Inflation, GDP deflator (annual %)",3.08088269,3.671384513,2.352816325,3.011893178,1.744986282
"Inflation, GDP deflator (annual %)",0.135399268,0.980253917,-1.285476798,8.167353954,-15.84643805
"Inflation, GDP deflator (annual %)",1.422581823,9.319916113,10.67841768,3.375429429,1.291335181
"Inflation, GDP deflator (annual %)",3.054957232,5.613839481,5.149662807,7.662577839,-3.617420728
"Inflation, GDP deflator (annual %)",3.810693121,4.559149335,3.443495826,4.012476723,4.350723509
"Inflation, GDP deflator (annual %)",4.905611843,4.28538472,3.52971462,2.678544749,3.199957862
"Inflation, GDP deflator (annual %)",-0.644262273,4.783349097,5.577266361,-0.996363591,0.898976634
"Inflation, GDP deflator (annual %)",4.935033807,4.70734064,7.751826419,7.362553769,5.067759506
"Inflation, GDP deflator (annual %)",8.130478078,10.98242167,16.47581834,13.85934632,14.82641101
"Inflation, GDP deflator (annual %)",1.000243384,3.562375799,4.924068109,8.693957115,0.0
"Inflation, GDP deflator (annual %)",7.472033668,2.70373365,2.975536618,2.46494913,0.343712899
"Inflation, GDP deflator (annual %)",4.781000291,4.649050821,4.443385268,3.000011819,2.721484443
"Inflation, GDP deflator (annual %)",17.09713492,22.0983175,15.39853035,8.246226268,9.788984041
"Inflation, GDP deflator (annual %)",2.633326432,3.615658261,3.226106405,2.525618656,1.356925564
"Inflation, GDP deflator (annual %)",16.6136839,4.986641922,7.10189068,8.522966926,10.86818601
"Inflation, GDP deflator (annual %)",1.04924737,1.880067872,2.400981114,1.785151537,1.205201696
"Inflation, GDP deflator (annual %)",8.930368493,19.06181472,26.98286145,17.91000418,11.90080168
"Inflation, GDP deflator (annual %)",0.608996137,1.279208332,0.248777212,1.153486282,1.161425362
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",,,,,
"Inflation, GDP deflator (annual %)",2.051803522,0.634642014,1.187730627,2.048799608,
"Inflation, GDP deflator (annual %)",1.110649186,4.085788187,3.398105023,1.788598602,1.293487769
"Inflation, GDP deflator (annual %)",1.577060285,5.363552068,3.207796452,2.393478227,1.800509033
"Inflation, GDP deflator (annual %)",1.716662547,2.961142629,2.703272053,2.381348317,1.792082195
"Inflation, GDP deflator (annual %)",1.177937373,-0.082229129,1.155776904,1.385778226,0.215007279
"Inflation, GDP deflator (annual %)",0.779271868,0.439985824,1.49892049,0.962931178,1.381106984
"Inflation, GDP deflator (annual %)",0.134410844,18.55356617,14.85366497,,
"Inflation, GDP deflator (annual %)",6.952171961,5.473321975,3.956473697,4.49944874,5.273229664
"Inflation, GDP deflator (annual %)",13.55248469,10.09572987,7.411570948,7.633470481,13.74350216
"Inflation, GDP deflator (annual %)",2.160992696,2.437607639,59.80335555,440.829791,558.5600237
