Category,Unit,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021
Unemployment Rate,% of economically active population,6.863,6.985,6.489,6.266,7.728,6.921,6.422,6.442,8.062,6.215,6.197,6.091,8.151,6.303,5.753,6.098,7.051,12.252,16.15,15.095,14.241,12.445,9.635,8.824
Unemployment Rate,% of economically active population,7.9,7.833,8.233,7.467,8.433,8.067,7.667,7.467,8.764,8.079,8.487,8.154,8.757,8.833,9.223,8.83,9.699,10.033,10.8,10.867,10.5,9.767,9.767,8.43
Unemployment Rate,% of economically active population,7.502,7.562,7.063,7.049,7.754,7.251,7.086,6.665,7.263,6.849,6.661,6.837,8.036,7.536,7.71,7.025,8.743,8.2,8.296,7.33,8.76,7.94,7.912,7.003
Unemployment Rate,% of economically active population,3.733,3.867,4.2,4.3,4.303,4.268,4.008,3.951,3.86,3.811,3.676,3.749,3.752,3.755,3.648,3.735,3.744,3.751,3.646,3.734,3.743,3.751,3.646,3.734
Unemployment Rate,% of economically active population,12.733,12.478,12.63,12.353,12.018,11.98,11.92,11.304,10.601,9.902,9.995,8.888,8.106,7.46,7.787,8.045,7.708,9.644,7.3,7.2,7.359,7.264,7.5,7.797
Unemployment Rate,% of economically active population,11.8,12.2,12.7,12.3,12.5,12.6,11.7,11.9,12.1,12.1,12.2,11.7,12.1,10.9,10.4,10.6,10.6,9.8,9.5,9.7,8.8,8.977,8.659,8.734
Unemployment Rate,% of economically active population,5.032,4.503,5.057,4.6,4.195,4.198,4.234,4.232,3.573,3.843,4.285,4.28,3.869,3.665,3.885,3.791,3.364,3.957,5.076,4.918,4.685,5.171,5.344,4.62
Unemployment Rate,% of economically active population,14.628,14.755,15.874,15.831,18.242,17.888,17.517,18.929,18.292,18.604,18.21,18.003,18.097,17.753,15.366,16.089,19.327,19.591,20.101,20.411,21.972,21.136,19.503,19.157
Unemployment Rate,% of economically active population,10.0,8.6,9.6,9.0,10.7,9.3,10.6,10.6,10.465,9.1,9.3,9.4,9.07,8.1,9.4,10.2,10.544,12.344,12.7,11.937,12.483,12.843,11.807,12.28
Unemployment Rate,% of economically active population,12.1,13.3,13.9,14.2,14.4,16.2,18.8,20.4,21.8,22.7,23.1,23.0,22.8,22.7,22.5,22.2,22.6,27.107,30.19,33.28,28.78,28.143,27.365,25.01
Unemployment Rate,% of economically active population,0.168,0.167,0.163,0.143,0.139,0.145,0.139,0.133,0.12,0.111,0.099,0.102,0.102,0.109,0.107,0.121,0.105,0.131,0.138,0.145,0.153,0.147,,
Unemployment Rate,% of economically active population,5.623,5.645,5.727,5.6,5.8,6.027,5.81,5.954,6.096,5.987,5.993,6.042,5.724,5.618,5.531,5.673,5.669,8.98,8.503,7.449,6.465,6.571,6.589,6.442
Unemployment Rate,% of economically active population,26.7,26.6,27.1,26.5,27.7,27.7,27.7,26.7,26.7,27.2,27.5,27.1,27.6,29.0,29.1,29.1,30.1,23.3,30.8,32.5,32.6,34.4,34.9,35.546
Unemployment Rate,% of economically active population,15.4,15.6,15.5,15.5,15.3,15.3,15.3,15.514,15.37,15.426,15.506,15.531,15.3,15.3,15.1,14.9,15.113,17.981,16.155,17.4,17.8,17.9,18.4,17.258
Unemployment Rate,% of economically active population,7.7,6.996,7.104,6.4,7.167,6.497,6.405,5.533,6.267,5.965,6.07,5.267,6.233,5.597,5.838,5.267,6.751,13.075,10.307,8.067,8.83,8.062,7.305,5.667
Unemployment Rate,% of economically active population,5.2,4.767,4.967,4.533,4.867,4.233,4.4,3.9,4.333,3.833,3.867,3.567,4.133,3.5,3.7,3.333,4.1,12.867,8.9,6.5,6.533,5.767,5.2,3.967
Unemployment Rate,% of economically active population,7.267,6.333,6.267,5.933,6.9,5.6,5.6,5.6,6.1,4.8,5.033,4.9,5.733,4.667,4.533,4.433,5.233,6.767,6.1,6.0,7.967,6.533,5.267,5.033
Unemployment Rate,% of economically active population,8.367,7.933,7.9,7.233,7.7,7.033,7.267,6.4,6.133,6.1,5.9,5.7,5.6,5.333,5.367,5.167,5.067,4.9,6.433,5.767,6.7,6.133,6.5,5.767
Unemployment Rate,% of economically active population,6.267,5.867,6.067,5.833,6.267,5.733,5.9,5.367,5.367,5.067,5.033,5.0,5.467,4.767,5.0,5.0,5.033,5.3,6.333,5.933,6.133,4.833,4.933,5.033
